Conference,Division,School,Contact Name,Title,Sports,Address,City,State,Zip Code,,,,,,
American,NCAA I,"CONNECTICUT, UNIVERSITY OF",Jim Penders,Head Coach,Men's Baseball,2095 Hillside Rd,Storrs,CT,06269-0000,,,,,,
American,NCAA I,EAST CAROLINA UNIVERSITY,Cliff Godwin,Head Coach,Men's Baseball,Ward Sports Medicine Bldg. Rm 365,Greenville,NC,27858-0000,,,,,,
American,NCAA I,"HOUSTON, UNIVERSITY OF",Todd Whitting,Head Coach,Men's Baseball,3100 Cullen Blvd.,Houston,TX,77204-6002,,,,,,
American,NCAA I,"MEMPHIS, UNIVERSITY OF",Daron Schoenrock,Head Coach,Men's Baseball,101 Athletic Office Bldg,Memphis,TN,38152-3730,,,,,,
American,NCAA I,"SOUTH FLORIDA, UNIV. OF",Billy Mohl,Head Coach,Men's Baseball,"4202 East Fowler Ave., ATH100",Tampa,FL,33620-0000,,,,,,
American,NCAA I,TULANE UNIVERSITY,Travis Jewett,Head Coach,Men's Baseball,James W. Wilson Jr. Center,New Orleans,LA,70118-0000,,,,,,
American,NCAA I,WICHITA STATE UNIVERSITY,Todd Butler,Head Coach,Men's Baseball,1845 Fairmount St. Box 18,Wichita,KS,67260-0018,,,,,,
American Midwest,NAIA 1,CENTRAL BAPTIST COLLEGE,Aaron Brister,Head Coach,Men's Baseball,1501 College Ave,Conway,AR,72034-0000,,,,,,
American Midwest,NAIA 1,COLUMBIA COLLEGE (MO),Darren Munns,Head Coach,Men's Baseball,1001 Rogers St.,Columbia,MO,65216-0000,,,,,,
American Midwest,NAIA 1,FREED-HARDEMAN UNIV.,Jonathan Estes,Head Coach,Men's Baseball,158 E. Main St.,Henderson,TN,38340-2306,,,,,,
American Midwest,NAIA 1,HANNIBAL-LAGRANGE UNIVERSITY,Ben Strother,Head Coach,Men's Baseball,2800 Palmyra Rd.,Hannibal,MO,63401-1940,,,,,,
American Midwest,NAIA 1,HARRIS-STOWE STATE UNIVERSITY,C.J. Bilbrey,Head Coach,Men's Baseball,3026 Laclede Ave,Saint Louis,MO,63103-2136,,,,,,
American Midwest,NAIA 1,LINDENWOOD UNIVERSITY-BELLEVILLE,Logan Johnson,Head Coach,Men's Baseball,2600 W. Main St.,Belleville,IL,62226-0000,,,,,,
American Midwest,NAIA 1,LYON COLLEGE,Tony Roepcke,Head Coach,Men's Baseball,PO Box 2317,Batesville,AR,72503-2317,,,,,,
American Midwest,NAIA 1,PARK UNIVERSITY,Cary Lundy,Head Coach,Men's Baseball,"8700 NW River Park Dr., Box 66",Parkville,MO,64152-4358,,,,,,
American Midwest,NAIA 1,WILLIAM WOODS UNIVERSITY,Brock Nehls,Head Coach,Men's Baseball,One University Ave.,Fulton,MO,65251-1004,,,,,,
American Midwest,NAIA 1,WILLIAMS BAPTIST COLLEGE,Stephen Abanathy,Head Coach,Men's Baseball,60 W. Fulbright St.,Walnut Ridge,AR,72476-9732,,,,,,
American Southwest,NCAA III,BELHAVEN UNIVERSITY,Hill Denson,Head Coach,Men's Baseball,1500 Peachtree Street,Jackson,MS,39202-1789,,,,,,
American Southwest,NCAA III,CONCORDIA UNIVERSITY TEXAS,Tommy Boggs,Head Coach,Men's Baseball,11400 Concordia University Drive,Austin,TX,78726-0000,,,,,,
American Southwest,NCAA III,EAST TEXAS BAPTIST UNIV.,Jared Hood,Head Coach,Men's Baseball,One Tiger Drive,Marshall,TX,75670-1423,,,,,,
American Southwest,NCAA III,HARDIN-SIMMONS UNIVERSITY,Steve Coleman,Head Coach,Men's Baseball,2200 Hickory,Abilene,TX,79698-0000,,,,,,
American Southwest,NCAA III,HOWARD PAYNE UNIVERSITY,Stephen Lynn,Head Coach,Men's Baseball,1000 Fisk St,Brownwood,TX,76801-3441,,,,,,
American Southwest,NCAA III,LE TOURNEAU UNIVERSITY,Robin Harriss,Head Coach,Men's Baseball,2100 South Mobberly Ave.,Longview,TX,75607-0000,,,,,,
American Southwest,NCAA III,LOUISIANA COLLEGE,Mike Byrnes,Head Coach,Men's Baseball,1140 College Dr.,Pineville,LA,71359-0000,,,,,,
American Southwest,NCAA III,"MARY HARDIN-BAYLOR, U. OF",Ben Shipp,Head Coach,Men's Baseball,UMHB Box 8010,Belton,TX,76513-0000,,,,,,
American Southwest,NCAA III,MCMURRY UNIVERSITY,John Byington,Head Coach,Men's Baseball,1400 Sayles Blvd.,Abilene,TX,79697-0000,,,,,,
American Southwest,NCAA III,"OZARKS, UNIV. OF THE",Aaron Gentry,Head Coach,Men's Baseball,415 College Ave.,Clarksville,AR,72830-2880,,,,,,
American Southwest,NCAA III,"TEXAS AT TYLER, UNIVERSITY OF",Brent Porche,Head Coach,Men's Baseball,3900 University Blvd.,Tyler,TX,75799-0000,,,,,,
American Southwest,NCAA III,"TEXAS, U. OF (Dallas)",Shane Shewmake,Head Coach,Men's Baseball,800 W. Campbell,Richardson,TX,75080-0000,,,,,,
American Southwest,NCAA III,"TEXAS, U. OF (Dallas)",Sean West,Head Coach,Men's Baseball,800 W. Campbell,Richardson,TX,75080-0000,,,,,,
Appalachian,NAIA 1,MILLIGAN COLLEGE,Nathan Meade,Head Coach,Men's Baseball,1 Blowers Blvd,Milligan College,TN,37682-0000,,,,,,
Appalachian,NAIA 1,POINT UNIVERSITY,John Tyler,Head Coach,Men's Baseball,507 West 10th Street,West Point,GA,31833-0000,,,,,,
Appalachian,NAIA 1,REINHARDT UNIVERSITY,Open,Head Coach,Men's Baseball,7300 Reinhardt Circle,Waleska,GA,30183-0000,,,,,,
Appalachian,NAIA 1,ST. ANDREWS UNIVERSITY,Andy Fox,Head Coach,Men's Baseball,1700 Dogwood Mile St,Laurinburg,NC,28352-5521,,,,,,
Appalachian,NAIA 1,TENNESSEE WESLEYAN COLLEGE,Billy Berry,Head Coach,Men's Baseball,204 E. College St,Athens,TN,37303-0040,,,,,,
Appalachian,NAIA 1,TRUETT McCONNELL COLLEGE,Mike Croley,Head Coach,Men's Baseball,100 Alumni Dr.,Cleveland,GA,30528-1264,,,,,,
Appalachian,NAIA 1,UNION COLLEGE (KY),Bart Osborne,Head Coach,Men's Baseball,310 College St.,Barbourville,KY,40906-0000,,,,,,
Arizona CC Athletic Conf,NJCAA I,ARIZONA WESTERN COLLEGE,Drew Keehn,Head Coach,Men's Baseball,2020 South Avenue 8E,Yuma,AZ,85365-0000,,,,,,
Arizona CC Athletic Conf,NJCAA I,CENTRAL ARIZONA COLLEGE,Anthony Gilich,Head Coach,Men's Baseball,8470 N Overfield Rd.,Coolidge,AZ,85128-0000,,,,,,
Arizona CC Athletic Conf,NJCAA I,CHANDLER-GILBERT COMMUNITY COLLEGE,Russell Luce,Head Coach,Men's Baseball,2626 E. Pecos Rd.,Chandler,AZ,85225-2499,,,,,,
Arizona CC Athletic Conf,NJCAA I,COCHISE COLLEGE,Todd Inglehart,Head Coach,Men's Baseball,4190 W. Hwy 80,Douglas,AZ,85607-6190,,,,,,
Arizona CC Athletic Conf,NJCAA I,GLENDALE COMMUNITY COLLEGE,Ed Trujillo,Head Coach,Men's Baseball,6000 West Olive Avenue,Glendale,AZ,85302-3006,,,,,,
Arizona CC Athletic Conf,NJCAA I,MESA COMMUNITY COLLEGE,Tony Cirelli,Head Coach,Men's Baseball,1833 W Southern Ave,Mesa,AZ,85202-0000,,,,,,
Arizona CC Athletic Conf,NJCAA I,PARADISE VALLEY COMMUNITY COLLEGE,Victor Solis,Head Coach,Men's Baseball,18401 North 32nd St.,Phoenix,AZ,85032-0000,,,,,,
Arizona CC Athletic Conf,NJCAA I,PHOENIX COLLEGE,Kevin Kimball,Head Coach,Men's Baseball,1202 West Thomas Road,Phoenix,AZ,85013-4208,,,,,,
Arizona CC Athletic Conf,NJCAA I,PIMA COMMUNITY COLLEGE,Rich Alday,Head Coach,Men's Baseball,2202 W Anklam Road,Tucson,AZ,85709-0285,,,,,,
Arizona CC Athletic Conf,NJCAA I,SCOTTSDALE COMMUNITY COLLEGE,Alex Cherney,Head Coach,Men's Baseball,9000 E. Chaparral Rd.,Scottsdale,AZ,85256-2626,,,,,,
Arizona CC Athletic Conf,NJCAA I,SOUTH MOUNTAIN COMMUNITY COLLEGE,Todd Eastin,Head Coach,Men's Baseball,7050 S 24th St,Phoenix,AZ,85042-0000,,,,,,
Arizona CC Athletic Conf,NJCAA I,YAVAPAI COLLEGE,Ryan Cougill,Head Coach,Men's Baseball,1100 E. Sheldon,Prescott,AZ,86301-3220,,,,,,
Arrowhead,NJCAA I,BLACK HAWK COLLEGE,Arnie Chavera,Head Coach,Men's Baseball,6600 34th Ave.,Moline,IL,61265-5870,,,,,,
Arrowhead,NJCAA I,CARL SANDBURG COLLEGE,Jake Tenhouse,Head Coach,Men's Baseball,2400 Tom L. Wilson Blvd.,Galesburg,IL,61401-9574,,,,,,
Arrowhead,NJCAA I,HIGHLAND COMMUNITY COLLEGE,Roger Fegan,Head Coach,Men's Baseball,2998 W Pearl City Rd.,Freeport,IL,61032-9341,,,,,,
Arrowhead,NJCAA I,ILLINOIS VALLEY COMMUNITY COLLEGE,Jason Goode,Head Coach,Men's Baseball,815 N. Orlando Smith St,Oglesby,IL,61348-9692,,,,,,
Arrowhead,NJCAA I,KISHWAUKEE COLLEGE,Josh Pethoud,Head Coach,Men's Baseball,21193 Malta Rd,Malta,IL,60150-9600,,,,,,
Arrowhead,NJCAA I,SAUK VALLEY COMMUNITY COLLEGE,Tyler Huffman,Head Coach,Men's Baseball,173 IL Route 2,Dixon,IL,61021-9112,,,,,,
Assoc. Independent Institutions,NAIA 1,FISHER COLLEGE,Scott Dulin,Head Coach,Men's Baseball,118 Beacon St.,Boston,MA,02116-0000,,,,,,
Assoc. Independent Institutions,NAIA 1,GEORGIA GWINNETT COLLEGE,Brad Stromdahl,Head Coach,Men's Baseball,1030 Collins Hill Rd,Lawrenceville,GA,30043-0000,,,,,,
Assoc. Independent Institutions,NAIA 1,KENTUCKY CHRISTIAN UNIVERSITY,Chris Hensley,Head Coach,Men's Baseball,100 Academic Pkwy,Grayson,KY,41143-2205,,,,,,
Assoc. Independent Institutions,NAIA 1,LINCOLN CHRISTIAN UNIVERSITY,Ty Unger,Head Coach,Men's Baseball,100 Campus View Dr.,Lincoln,IL,62656-2111,,,,,,
Assoc. Independent Institutions,NAIA 1,"OZARKS, COLLEGE OF THE",Neale Richardson,Head Coach,Men's Baseball,#1 Opportunity Ave.,Point Lookout,MO,65726-0000,,,,,,
Assoc. Independent Institutions,NAIA 1,RUST COLLEGE,Aurby Burdine,Head Coach,Men's Baseball,150 Rust Ave,Holly Springs,MS,38635-2330,,,,,,
Assoc. Independent Institutions,NAIA 1,"SAINT JOSEPH IN VERMONT, COLL. OF",Bob Godlewski,Head Coach,Men's Baseball,71 Clement Rd,Rutland,VT,05701-3899,,,,,,
Assoc. Independent Institutions,NAIA 1,STILLMAN COLLEGE,Terrance Whittle,Head Coach,Men's Baseball,3601 Stillman Blvd.,Tuscaloosa,AL,35401-0000,,,,,,
Assoc. Independent Institutions,NAIA 1,VOORHEES COLLEGE,Justin Thomas,Head Coach,Men's Baseball,PO Box 678,Denmark,SC,29042-0000,,,,,,
Assoc. of DIII Independents,NCAA III,MARANATHA BAPTIST UNIVERSITY,Gary Garrison,Head Coach,Men's Baseball,745 W Main St,Watertown,WI,53094-0000,,,,,,
Assoc. of DIII Independents,NCAA III,"NEW ROCHELLE, THE COLLEGE OF",Tommy Cannella,Head Coach,Men's Baseball,29 Castle Place,New Rochelle,NY,10805-0000,,,,,,
Atlantic Sun,NCAA I,FLORIDA GULF COAST UNIVERSITY,Dave Tollett,Head Coach,Men's Baseball,10501 FGCU Blvd. South,Fort Myers,FL,33965-0000,,,,,,
Atlantic Sun,NCAA I,JACKSONVILLE UNIVERSITY,Chris Hayes,Head Coach,Men's Baseball,2800 University Blvd N.,Jacksonville,FL,32211-0000,,,,,,
Atlantic Sun,NCAA I,KENNESAW STATE UNIVERSITY,Mike Sansing,Head Coach,Men's Baseball,590 Cobb Ave.,Kennesaw,GA,30144-0000,,,,,,
Atlantic Sun,NCAA I,LIPSCOMB UNIVERSITY,Jeff Forehand,Head Coach,Men's Baseball,One University Park Drive,Nashville,TN,37204-3951,,,,,,
Atlantic Sun,NCAA I,NEW JERSEY INSTITUTE OF TECHNOLOGY,Brian Guiliana,Head Coach,Men's Baseball,323 Dr. Martin Luther King Jr. Blvd.,Newark,NJ,07102-1982,,,,,,
Atlantic Sun,NCAA I,"NORTH FLORIDA, UNIV. OF",Tim Parenton,Head Coach,Men's Baseball,1 UNF Drive,Jacksonville,FL,32224-2672,,,,,,
Atlantic Sun,NCAA I,"SOUTH CAROLINA UPSTATE, U. OF",Matt Fincher,Head Coach,Men's Baseball,800 University Way,Spartanburg,SC,29303-4932,,,,,,
Atlantic Sun,NCAA I,STETSON UNIVERSITY,Steve Trimper,Head Coach,Men's Baseball,421 N Woodland Blvd,Deland,FL,32723-0000,,,,,,
Bay Valley,NJCAA I,CONTRA COSTA COLLEGE,Brian Guinn,Head Coach,Men's Baseball,2600 Mission Bell Dr.,San Pablo,CA,94806-3166,,,,,,
Bay Valley,NJCAA I,FOLSOM LAKE COLLEGE,Rich Gregory,Head Coach,Men's Baseball,10 College Parkway,Folsom,CA,95630-0000,,,,,,
Bay Valley,NJCAA I,LANEY COLLEGE,Francisco Zapata,Head Coach,Men's Baseball,900 Fallon St.,Oakland,CA,94607-4808,,,,,,
Bay Valley,NJCAA I,LOS MEDANOS COLLEGE,Anthony D'Albora,Head Coach,Men's Baseball,2700 E Leland Rd.,Pittsburg,CA,94565-5107,,,,,,
Bay Valley,NJCAA I,"MARIN, COLLEGE OF",Steve Berringer,Head Coach,Men's Baseball,835 College Ave.,Kentfield,CA,94904-0000,,,,,,
Bay Valley,NJCAA I,NAPA VALLEY COLLEGE,Dan Parker,Head Coach,Men's Baseball,2277 Napa-Vallejo Hwy,Napa,CA,94558-6236,,,,,,
Bay Valley,NJCAA I,SOLANO COMMUNITY COLLEGE,Tyren Sillanpaa,Head Coach,Men's Baseball,4000 Suisun Valley Rd,Fairfield,CA,94534-4017,,,,,,
Bay Valley,NJCAA I,YUBA COLLEGE,Ryan Evangelho,Head Coach,Men's Baseball,2088 N Beale Rd,Marysville,CA,95901-0000,,,,,,
Big 12,NCAA I,BAYLOR UNIVERSITY,Steve Rodriguez,Head Coach,Men's Baseball,1500 S. University Parks Dr.,Waco,TX,76706-0000,,,,,,
Big 12,NCAA I,KANSAS STATE UNIVERSITY,Brad Hill,Head Coach,Men's Baseball,Bramlage Coliseum,Manhattan,KS,66502-3308,,,,,,
Big 12,NCAA I,"KANSAS, UNIVERSITY OF",Ritch Price,Head Coach,Men's Baseball,1651 Naismith Drive,Lawrence,KS,66045-0000,,,,,,
Big 12,NCAA I,OKLAHOMA STATE UNIVERSITY,Josh Holliday,Head Coach,Men's Baseball,OSU Athletics Center,Stillwater,OK,74078-5070,,,,,,
Big 12,NCAA I,"OKLAHOMA, UNIVERSITY OF",Skip Johnson,Head Coach,Men's Baseball,180 W. Brooks,Norman,OK,73019-6010,,,,,,
Big 12,NCAA I,TEXAS CHRISTIAN UNIVERSITY,Jim Schlossnagle,Head Coach,Men's Baseball,3500 Bellaire Drive North,Fort Worth,TX,76129-0000,,,,,,
Big 12,NCAA I,TEXAS TECH UNIVERSITY,Tim Tadlock,Head Coach,Men's Baseball,2526 6th St.,Lubbock,TX,79409-0000,,,,,,
Big 12,NCAA I,"TEXAS, U. OF (Austin)",David Pierce,Head Coach,Men's Baseball,403 E. 23rd St.,Austin,TX,78712-0000,,,,,,
Big 12,NCAA I,WEST VIRGINIA UNIVERSITY,Randy Mazey,Head Coach,Men's Baseball,PO Box 877,Morgantown,WV,26507-0877,,,,,,
Big 8,NJCAA I,AMERICAN RIVER COLLEGE,Doug Jumelet,Head Coach,Men's Baseball,4700 College Oak Dr.,Sacramento,CA,95841-4217,,,,,,
Big 8,NJCAA I,COSUMNES RIVER COLLEGE,Don Mico,Head Coach,Men's Baseball,8401 Center Pkwy,Sacramento,CA,95823-5704,,,,,,
Big 8,NJCAA I,DIABLO VALLEY COLLEGE,Steve Ward,Head Coach,Men's Baseball,321 Golf Club Rd,Pleasant Hill,CA,94523-1529,,,,,,
Big 8,NJCAA I,MODESTO JUNIOR COLLEGE,Zeb Brayton,Head Coach,Men's Baseball,95350 College Ave.,Modesto,CA,95350-0000,,,,,,
Big 8,NJCAA I,SACRAMENTO CITY COLLEGE,Derek Sullivan,Head Coach,Men's Baseball,3835 Freeport Blvd.,Sacramento,CA,95822-1318,,,,,,
Big 8,NJCAA I,SAN JOAQUIN DELTA COLLEGE,Reed Peters,Head Coach,Men's Baseball,5151 Pacific Ave.,Stockton,CA,95207-6304,,,,,,
Big 8,NJCAA I,SANTA ROSA JUNIOR COLLEGE,Damon Neidlinger,Head Coach,Men's Baseball,1501 Mendocino Ave.,Santa Rosa,CA,95401-4332,,,,,,
Big 8,NJCAA I,SIERRA COLLEGE,Rob Wilson,Head Coach,Men's Baseball,5000 Rocklin Rd.,Rocklin,CA,95677-3337,,,,,,
Big East,NCAA I,BUTLER UNIVERSITY,Dave Schrage,Head Coach,Men's Baseball,510 W. 49th Street,Indianapolis,IN,46208-3443,,,,,,
Big East,NCAA I,CREIGHTON UNIVERSITY,Ed Servais,Head Coach,Men's Baseball,2500 California Plaza,Omaha,NE,68178-0000,,,,,,
Big East,NCAA I,GEORGETOWN UNIVERSITY,Peter Wilk,Head Coach,Men's Baseball,McDonough Arena,Washington,DC,20057-0000,,,,,,
Big East,NCAA I,SETON HALL UNIVERSITY,Rob Sheppard,Head Coach,Men's Baseball,400 South Orange Avenue,South Orange,NJ,07079-2646,,,,,,
